"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj_bon"
"ENSMUSG00000069045",1221.47668686987,-10.9837739759621,0.485320237237058,-22.6320131187875,2.09804706758666e-113,3.09315079174301e-109,3.09315079174301e-109
"ENSMUSG00000086503",14309.2541701401,3.92618023050784,0.224788005788442,17.4661464553537,2.59436792800971e-68,1.91243831813236e-64,3.82487663626471e-64
"ENSMUSG00000069049",492.439061471541,-11.382149747706,0.707787309044298,-16.0813136972956,3.44985019417917e-58,1.69537138042611e-54,5.08611414127835e-54
"ENSMUSG00000056673",338.671578204421,-11.1733461315562,0.700076747767786,-15.9601731769877,2.42058832300474e-57,8.92168341151471e-54,3.56867336460588e-53
"ENSMUSG00000068457",334.677363353164,-10.567236984088,0.684013833752509,-15.4488644273699,7.67843075391208e-54,2.26406209209851e-50,1.13203104604926e-49
"ENSMUSG00000106028",138.810396702651,1.29727356033327,0.106916245452815,12.1335495353304,7.01418536787025e-34,1.72350224797519e-30,1.03410134878511e-29
"ENSMUSG00000034160",7054.20892654092,0.834759547392755,0.0704171560244125,11.8544910717973,2.03959638599689e-32,4.29568135982173e-29,3.00697695187521e-28
"ENSMUSG00000031314",1458.47159202356,0.646939062283123,0.054838486296145,11.7971721318026,4.03649219080104e-32,7.43875054612247e-29,5.95100043689798e-28
"ENSMUSG00000035150",2717.09550348947,0.505179766701781,0.0625413271507281,8.07753512304383,6.60889976126153e-16,1.08261121311421e-12,9.74350091802787e-12
"ENSMUSG00000025332",3620.58827043182,0.458599360780774,0.0577087680192957,7.94678827015395,1.91409146803677e-15,2.82194505132661e-12,2.82194505132661e-11
"ENSMUSG00000016409",669.712124975442,0.366482380601281,0.0518271060529935,7.0712491688529,1.5354514700159e-12,2.05792372931312e-09,2.26371610224444e-08
"ENSMUSG00000014361",819.740438148348,0.390724536447591,0.0557037383689417,7.01433239291251,2.31049515443987e-12,2.83863583849224e-09,3.40636300619069e-08
"ENSMUSG00000079480",314.081489306875,0.487765046986245,0.0752397806795523,6.48280793193226,9.00310814658839e-11,1.02102171850117e-07,1.32732823405153e-06
"ENSMUSG00000087174",227.28032759833,0.498517646972449,0.080448332756216,6.19674305101035,5.764348832152e-10,6.07027105945835e-07,8.49837948324169e-06
"ENSMUSG00000095687",1460.26367145592,-0.411787135334592,0.0731736219072493,-5.62753523197949,1.82802833768484e-08,1.7967081188325e-05,0.000269506217824876
"ENSMUSG00000031226",765.74850208182,0.391114680297053,0.0709795423992571,5.5102451646849,3.58334247912511e-08,3.30182613560885e-05,0.000528292181697415
"ENSMUSG00000028766",3956.4622736678,0.203651765783398,0.037844962842825,5.38121193642572,7.39860250649467e-08,6.41632922077947e-05,0.00109077596753251
"ENSMUSG00000024868",214.228338544639,-0.92051248512406,0.173124167213619,-5.31706520204214,1.05454287957312e-07,8.6372920408592e-05,0.00155471256735466
"ENSMUSG00000037369",1332.50482731034,0.236094898863795,0.0470209010456086,5.02106283830655,5.13863437038844e-07,0.000398730981698088,0.00757588865226367
"ENSMUSG00000006538",36.35781612213,1.04129070074442,0.212995753734867,4.88878619636989,1.01459613935598e-06,0.000747909544126259,0.0149581908825252
"ENSMUSG00000036256",5309.52796074115,-0.375818283672809,0.0780563661454179,-4.81470381253292,1.4741837735222e-06,0.00103494720823989,0.0217338913730377
"ENSMUSG00000063785",266.848782237914,0.309662062789704,0.0652437265605579,4.74623506525615,2.07237859229882e-06,0.00138877625392098,0.0305530775862616
"ENSMUSG00000036959",384.776151655752,0.507500220574067,0.109278588843082,4.64409566363279,3.41569277454601e-06,0.00211965244396023,0.0503575585751318
"ENSMUSG00000051412",1176.98758999112,0.487943029396932,0.105114874916015,4.64199790740171,3.45056356610226e-06,0.00211965244396023,0.0508716586550456
"ENSMUSG00000051243",477.020475972219,0.393712524845598,0.0859856356575879,4.57881740170463,4.67612179358203e-06,0.00275760254411119,0.0689400636027798
"ENSMUSG00000040136",27.3077910616067,1.02518774045184,0.225191740581232,4.55251039760949,5.30095401656792e-06,0.0030058448102408,0.0781519650662609
"ENSMUSG00000061815",905.888512727014,-0.395242602750464,0.0874897693654084,-4.51758652031302,6.25484731342349e-06,0.00341537829414084,0.0922152139418026
"ENSMUSG00000020520",1144.06885454799,-0.255655220673372,0.0568770591179058,-4.4948741133644,6.96111168119195e-06,0.00366527391127903,0.102627669515813
"ENSMUSG00000025220",1904.15876861278,0.248371903862552,0.0558371989301895,4.44814404413588,8.66154396829967e-06,0.00426769897823148,0.127697142724642
"ENSMUSG00000030792",1267.81340600824,0.267172657137082,0.0600714256640651,4.4475830926867,8.68418702753472e-06,0.00426769897823148,0.128030969346944
"ENSMUSG00000020098",121.633750664672,0.870782160838199,0.200064553997706,4.35250594589676,1.34590220715064e-05,0.00640085040000707,0.198426362400219
"ENSMUSG00000001510",1787.81655587081,0.218208888667739,0.0504401682309694,4.3260935940686,1.51776953339427e-05,0.00697352718237869,0.223764762308318
"ENSMUSG00000005268",121.506177777328,0.446371097913329,0.103461228200247,4.31438042712376,1.60051132093776e-05,0.00697352718237869,0.235963384045853
"ENSMUSG00000042750",54.4858898555114,1.71002427153292,0.396452104208866,4.31331869191445,1.60822033643679e-05,0.00697352718237869,0.237099924200876
"ENSMUSG00000028255",39.5417627737898,1.22216219203313,0.285741278044863,4.27716359496804,1.89289697892241e-05,0.00797342290292946,0.279069801602531
"ENSMUSG00000039395",401.371815725113,0.334689474696506,0.0791892167943411,4.22645264399714,2.37404205394285e-05,0.00972236166702208,0.350005020012795
"ENSMUSG00000041477",79.7286811449173,0.457155354082124,0.108654871923618,4.20740778566739,2.58316757851287e-05,0.0102928755702744,0.380836396100152
